"namespace","key","English (source — do not edit)","Turkish (edit this column)"
"readings","readings.pentacles-7.past","A long investment of time and effort eventually bore fruit. The waiting was hard, but the result proved it was worth it.","Zaman ve çabanın uzun bir yatırımı sonunda meyve verdi. Bekleme zordu ama sonuç buna değdiğini kanıtladı."
"readings","readings.pentacles-7.present","The seeds are planted, the work is done. Now you wait. Don't dig up the garden to check if it's growing — trust the process.","Tohumlar ekildi, iş yapıldı. Şimdi bekle. Büyüyüp büyümediğini kontrol etmek için bahçeyi kazma — sürece güven."
"readings","readings.pentacles-7.future","A reward is coming, but not immediately. The investment you're making now — in work, in skills, in patience — will pay off. Give it time.","Bir ödül geliyor, ama hemen değil. Şimdi yaptığın yatırım — işte, beceride, sabırda — kendini ödeyecek. Zaman ver."
"readings","readings.pentacles-8.keywords","diligence, skill development, craftsmanship, dedication","gayret, beceri geliştirme, ustalık, adanmışlık"
"readings","readings.pentacles-8.meaning","A figure carefully carves coin after coin — focused, skilled, methodical. This is the apprentice card. Mastery through repetition, improvement through dedication. The work isn't glamorous, but it's building something real.","Bir figür dikkatlice sikke üzerine sikke oyar — odaklı, yetenekli, metodik. Bu çırak kartıdır. Tekrarlamayla ustalık, adanmışlıkla gelişme. İş göz alıcı değil, ama gerçek bir şey inşa ediyor."
"readings","readings.pentacles-8.past","A period of dedicated practice and skill-building laid the foundation for your abilities. That diligence — day after day — created real competence.","Adanmış bir uygulama ve beceri geliştirme dönemi yeteneklerinin temelini attı. O gayret — gün geçtikçe — gerçek yetkinlik yarattı."
"readings","readings.pentacles-8.present","Put your head down and do the work. This isn't the time for shortcuts or big leaps — it's the time for steady, focused effort. Mastery comes from repetition.","Başını eğ ve işi yap. Bu kısa yolların ya da büyük sıçramaların zamanı değil — istikrarlı, odaklı çabanın zamanı. Ustalık tekrarlamadan gelir."
"readings","readings.pentacles-8.future","A period of intense skill-building is ahead. It will require dedication and focus, but the competence you develop will be a lasting asset.","Önde yoğun bir beceri geliştirme dönemi var. Adanmışlık ve odak gerektirecek, ama geliştirdiğin yetkinlik kalıcı bir varlık olacak."
"readings","readings.pentacles-9.keywords","luxury, self-sufficiency, financial security, accomplishment","lüks, kendi kendine yeterlilik, finansal güvenlik, başarı"
"readings","readings.pentacles-9.meaning","A figure stands in a lush garden, a bird on her hand, nine coins behind her. She built this. Self-made comfort, material security earned through effort. Enjoy what you've created.","Bir figür gür bir bahçede durur, elinde bir kuş, arkasında dokuz sikke. Onu o kurdu. Kendi yaptığı konfor, çabayla kazanılmış maddi güvenlik. Yarattığının tadını çıkar."
"readings","readings.pentacles-9.past","Through your own effort, you created comfort and security. That self-sufficiency was hard-won and deserved.","Kendi çabanla rahatlık ve güvenlik yarattın. O kendi kendine yeterlilik zor kazanıldı ve hak edildi."
"readings","readings.pentacles-9.present","You've built something solid. Take a moment to enjoy the garden you've cultivated. Self-sufficiency feels good — let yourself appreciate it.","Sağlam bir şey inşa ettin. Yetiştirdiğin bahçenin keyfini çıkarmak için bir an ayır. Kendi kendine yeterlilik iyi hissettirir — takdir etmene izin ver."
"readings","readings.pentacles-9.future","Financial security and comfort are building. What you've been working toward is materializing. The garden is almost in full bloom.","Finansal güvenlik ve konfor oluşuyor. Üzerinde çalıştığın şey maddileşiyor. Bahçe neredeyse tam çiçek açmış."
"readings","readings.pentacles-10.keywords","legacy, inheritance, family wealth, long-term success","miras, kalıt, aile serveti, uzun vadeli başarı"
"readings","readings.pentacles-10.meaning","Ten coins arranged around a family gathered at an estate. This is generational — wealth, legacy, something built to last beyond you. The ultimate card of material completion.","Bir malikanede toplanmış bir ailenin etrafında düzenlenmiş on sikke. Bu kuşaklardır — servet, miras, senden sonra sürmek için inşa edilmiş bir şey. Maddi tamamlanmanın nihai kartı."
"readings","readings.pentacles-10.past","Something was passed down — an inheritance, a family tradition, a foundation built by those before you. That legacy still supports your life.","Bir şey aktarıldı — bir miras, bir aile geleneği, senden öncekiler tarafından kurulmuş bir temel. O miras hâlâ hayatını destekliyor."
"readings","readings.pentacles-10.present","Think long-term. What you're building now isn't just for you — it's for those who come after. Family, legacy, lasting impact.","Uzun vadeli düşün. Şimdi inşa ettiğin yalnızca sana değil — sonra gelenlere. Aile, miras, kalıcı etki."
"readings","readings.pentacles-10.future","Lasting wealth or a meaningful legacy is forming. What you create now will outlive the moment. Build with permanence in mind.","Kalıcı servet ya da anlamlı bir miras oluşuyor. Şimdi yarattıkların anı aşacak. Kalıcılığı düşünerek inşa et."
"readings","readings.pentacles-page.keywords","ambition, studiousness, new opportunity, practical planning","hırs, çalışkanlık, yeni fırsat, pratik planlama"
"readings","readings.pentacles-page.meaning","A young figure holds a single coin up to the light, studying it carefully. The student of the material world — practical, curious, ready to learn. A new financial or career opportunity is being examined.","Genç bir figür tek bir sikkeyi ışığa tutarak dikkatlice inceliyor. Maddi dünyanın öğrencisi — pratik, meraklı, öğrenmeye hazır. Yeni bir finansal ya da kariyer fırsatı inceleniyor."
"readings","readings.pentacles-page.past","An early opportunity in work or money sparked your practical ambitions. That first taste of building something real set you on your path.","İşte ya da parada erken bir fırsat pratik hırslarını ateşledi. Gerçek bir şey inşa etmenin o ilk tadı seni yoluna koydu."
"readings","readings.pentacles-page.present","A new opportunity to learn or earn is in front of you. Study it carefully before committing. The ambition is right — make sure the plan is too.","Önünde öğrenmek ya da kazanmak için yeni bir fırsat var. Kendini adamadan önce dikkatlice incele. Hırs doğru — planın da doğru olduğundan emin ol."
"readings","readings.pentacles-page.future","Good news about money, work, or education is coming. It's an entry point, not a windfall — the real value is in what you learn.","Para, iş ya da eğitim hakkında iyi haber geliyor. Bu bir giriş noktası, rüzgarla gelen bir şey değil — gerçek değer öğreneceklerinde."
"readings","readings.pentacles-knight.keywords","reliability, hard work, routine, patience","güvenilirlik, sıkı çalışma, rutin, sabır"
"readings","readings.pentacles-knight.meaning","The Knight of Pentacles rides slowly and steadily — the only knight who isn't charging. Reliable, methodical, gets it done. Not flashy, but the person you actually want on the job.","Tılsım Şövalyesi yavaş ve istikrarlı şekilde ilerler — hücum etmeyen tek şövalye. Güvenilir, metodik, işi halleder. Gösterişli değil, ama gerçekten işte istediğin kişi."
"readings","readings.pentacles-knight.past","Steady, unglamorous effort produced solid results. Someone — maybe you — just kept showing up and doing the work day after day.","İstikrarlı, gösterişsiz çaba sağlam sonuçlar verdi. Biri — belki sen — sadece her gün görünüp işi yaptı."
"readings","readings.pentacles-knight.present","Slow and steady. This isn't the time for dramatic action — it's the time for reliable, consistent effort. Show up, do the work, repeat.","Yavaş ve istikrarlı. Bu dramatik eylem zamanı değil — güvenilir, tutarlı çaba zamanı. Görün, işi yap, tekrarla."
"readings","readings.pentacles-knight.future","Progress will come through patience, not speed. The methodical approach will outperform the dramatic one. Trust the process.","İlerleme hızla değil, sabırla gelecek. Metodik yaklaşım dramatik olanı geçecek. Sürece güven."
"readings","readings.pentacles-queen.keywords","practical nurturing, financial savvy, comfort, abundance","pratik besleme, finansal zeka, konfor, bolluk"
"readings","readings.pentacles-queen.meaning","The Queen of Pentacles sits in a lush garden, holding a gold coin, surrounded by abundance she cultivated herself. Practical, generous, grounded. She knows how to make things grow — money, gardens, people.","Tılsım Kraliçesi gür bir bahçede oturur, altın bir sikke tutar, kendi yetiştirdiği bollukla çevrilidir. Pratik, cömert, topraklı. Bir şeyleri nasıl büyüteceğini bilir — para, bahçeler, insanlar."
"readings","readings.pentacles-queen.past","A practical, nurturing figure shaped your material world — someone who knew how to create abundance through common sense and care.","Pratik, besleyici bir figür maddi dünyanı şekillendirdi — sağduyu ve özenle bolluk yaratmayı bilen biri."
"readings","readings.pentacles-queen.present","Take a grounded approach. Nurture what you have, manage your resources wisely, and create comfort from the practical. Abundance comes from attentive care.","Topraklı bir yaklaşım benimse. Sahip olduğunu besle, kaynaklarını akıllıca yönet ve pratikten konfor yarat. Bolluk özenli bakımdan gelir."
"readings","readings.pentacles-queen.future","Material abundance is growing through practical wisdom. Your ability to nurture resources — financial or otherwise — will produce real results.","Pratik bilgelikle maddi bolluk büyüyor. Kaynakları — finansal ya da başka türlü — besleme yeteneğin gerçek sonuçlar üretecek."
"readings","readings.pentacles-king.keywords","wealth, business sense, discipline, security","servet, iş duygusu, disiplin, güvenlik"
"readings","readings.pentacles-king.meaning","The King of Pentacles sits on a throne decorated with bulls, gold coin in hand, vineyards behind him. He built the empire. Disciplined, prosperous, and knows the value of everything. Material mastery.","Tılsım Kralı boğalarla süslenmiş bir tahtta oturur, elinde altın bir sikke, arkasında üzüm bağları. İmparatorluğu o kurdu. Disiplinli, varlıklı ve her şeyin değerini bilir. Maddi ustalık."
"readings","readings.pentacles-king.past","Financial discipline or business acumen — yours or someone else's — built a foundation of real security. That success was earned through strategy and patience.","Finansal disiplin ya da iş zekası — senin ya da başkasının — gerçek güvenlik temeli inşa etti. O başarı strateji ve sabırla kazanıldı."
"readings","readings.pentacles-king.present","Think like a builder. Manage your resources, invest wisely, plan for the long game. The material world rewards discipline right now.","İnşaatçı gibi düşün. Kaynaklarını yönet, akıllıca yatırım yap, uzun oyun için planla. Maddi dünya şu anda disiplini ödüllendiriyor."
"readings","readings.pentacles-king.future","Material success and financial security are solidifying. The empire you're building — however small — is taking shape. Stay disciplined.","Maddi başarı ve finansal güvenlik sağlamlaşıyor. Kurduğun imparatorluk — ne kadar küçük olursa olsun — şekil alıyor. Disiplinli kal."
"readings","readings.wands-1.keywords","inspiration, new passion, potential, creative spark","ilham, yeni tutku, potansiyel, yaratıcı kıvılcım"
"readings","readings.wands-1.meaning","A hand from a cloud holds a living wand — leaves still sprouting. Pure creative fire, a new passion igniting, the spark before the flame. Something is calling to you. Answer it.","Buluttan bir el canlı bir asa tutar — yapraklar hâlâ sürmekte. Saf yaratıcı ateş, yeni bir tutkunun tutuşması, alevden önceki kıvılcım. Bir şey sana sesleniyor. Cevap ver."
"readings","readings.wands-1.past","A spark of inspiration lit a fire that changed your direction. That initial burst of passion set something important in motion.","Bir ilham kıvılcımı yönünü değiştiren bir ateş yaktı. O tutkunun ilk patlaması önemli bir şeyi harekete geçirdi."
"readings","readings.wands-1.present","A new creative or passionate impulse is demanding attention. This is raw potential — it needs action to become something real. Strike while the iron is hot.","Yeni bir yaratıcı ya da tutkulu dürtü dikkat talep ediyor. Bu ham potansiyel — gerçek bir şey olmak için eyleme ihtiyacı var. Demir tavında vur."
"readings","readings.wands-1.future","A powerful new inspiration is heading your way. When it arrives, don't sit on it. The spark needs fuel, and the fuel is your action.","Güçlü yeni bir ilham yolunda. Geldiğinde üzerine oturma. Kıvılcımın yakıta ihtiyacı var, ve yakıt senin eylemin."
"readings","readings.wands-2.keywords","planning, decisions, discovery, future vision","planlama, kararlar, keşif, gelecek vizyonu"
"readings","readings.wands-2.meaning","A figure holds a globe and a wand, looking out from a castle at the vast landscape. The world is big and the plans are bigger. You've achieved something, but you're already looking at what's next.","Bir figür bir küre ve bir asa tutar, bir kaleden geniş manzaraya bakar. Dünya büyük ve planlar daha büyük. Bir şey başardın, ama zaten bir sonraki şeye bakıyorsun."
"readings","readings.wands-2.past","A moment of ambition and planning expanded your horizons. Standing at a crossroads, you looked at the bigger picture and started making plans.","Bir hırs ve planlama anı ufkunu genişletti. Bir kavşakta durarak daha büyük resme baktın ve plan yapmaya başladın."
"readings","readings.wands-2.present","You've accomplished something, but you're restless. The bigger vision is calling. Start planning your next move — the territory is wider than you think.","Bir şey başardın ama huzursuzsun. Daha büyük vizyon seni çağırıyor. Bir sonraki hamleni planlamaya başla — bölge sandığından daha geniş."
"readings","readings.wands-2.future","A decision about your direction is ahead. The options are expansive. Take time to survey the landscape before you commit to a path.","Yönünle ilgili bir karar önde. Seçenekler geniş. Bir yola kendini adamadan önce manzarayı gözden geçirmek için zaman ayır."
"readings","readings.wands-3.keywords","expansion, foresight, progress, overseas opportunities","genişleme, öngörü, ilerleme, denizaşırı fırsatlar"
"readings","readings.wands-3.meaning","A figure stands on a cliff watching ships sail into the distance. The foundations are set, and now the venture expands. Your efforts are reaching further than your immediate grasp. Progress is happening.","Bir figür bir uçurumda duruyor, gemilerin uzaklara açılmasını izliyor. Temeller atıldı ve şimdi girişim genişliyor. Çabaların anlık kavrayışından daha öteye uzanıyor. İlerleme oluyor."
"readings","readings.wands-3.past","An enterprise or idea expanded beyond its original scope. What started small reached further than you expected.","Bir girişim ya da fikir orijinal kapsamının ötesinde genişledi. Küçük başlayan sanıp beklediğinden daha öteye ulaştı."
"readings","readings.wands-3.present","Things are moving. What you started is gaining momentum and reaching new territory. Keep your eyes on the horizon — the expansion is real.","İşler hareket ediyor. Başlattığın şey ivme kazanıyor ve yeni bölgeye ulaşıyor. Gözlerini ufukta tut — genişleme gerçek."
"readings","readings.wands-3.future","Growth and expansion are ahead. Your reach will extend further than you currently imagine. What you've built is about to travel.","Önde büyüme ve genişleme var. Uzanman şu an hayal ettiğinden daha ileri gidecek. İnşa ettiğin yolculuğa çıkmak üzere."
"readings","readings.wands-4.keywords","celebration, homecoming, harmony, community","kutlama, eve dönüş, uyum, topluluk"
"readings","readings.wands-4.meaning","Four wands form a canopy decorated with flowers, figures celebrating beneath. A milestone, a homecoming, a moment of genuine celebration. You've built something worth toasting.","Dört asa çiçeklerle süslenmiş bir çatı oluşturur, altında kutlayan figürler. Bir dönüm noktası, bir eve dönüş, gerçek kutlamanın bir anı. Kadeh kaldırmaya değer bir şey inşa ettin."
"readings","readings.wands-4.past","A celebration marked a real achievement — a homecoming, a milestone, a moment when everything felt right. That joy was earned.","Bir kutlama gerçek bir başarıyı işaretledi — bir eve dönüş, bir dönüm noktası, her şeyin doğru hissettiği bir an. O sevinç hak edilmişti."
"readings","readings.wands-4.present","Celebrate. A milestone has been reached and it deserves recognition. Gather your people and enjoy what you've accomplished together.","Kutla. Bir dönüm noktasına ulaşıldı ve tanınmayı hak ediyor. İnsanlarını topla ve birlikte başardığınızın tadını çıkarın."
"readings","readings.wands-4.future","A celebration is on the horizon. A milestone, a welcome, a moment of shared joy. Something worth looking forward to.","Ufukta bir kutlama var. Bir dönüm noktası, bir karşılama, paylaşılan bir sevinç anı. Sabırsızlanmaya değer bir şey."
"readings","readings.wands-5.keywords","conflict, competition, tension, disagreement","çatışma, rekabet, gerginlik, anlaşmazlık"
"readings","readings.wands-5.meaning","Five figures waving wands at each other — chaotic, noisy, everyone fighting for their position. Conflict, but not the deadly kind. This is competition, creative friction, the messy process of sorting things out.","Beş figür asalarını birbirine sallıyor — kaotik, gürültülü, herkes kendi konumu için savaşıyor. Çatışma, ama öldürücü tür değil. Bu rekabet, yaratıcı sürtünme, işleri ayıklamanın dağınık süreci."
"readings","readings.wands-5.past","A period of conflict or competition tested you. The struggle was frustrating, but it sharpened your resolve and clarified your position.","Bir çatışma ya da rekabet dönemi seni sınadı. Mücadele sinir bozucuydu ama kararlılığını keskinleştirdi ve konumunu netleştirdi."
"readings","readings.wands-5.present","There's friction in the air. Multiple voices, competing agendas, everyone pushing their angle. It's messy, but sometimes clarity comes from the fight.","Havada sürtüşme var. Birden fazla ses, rekabet eden ajandalar, herkes kendi açısını itiyor. Dağınık, ama bazen netlik kavgadan gelir."
"readings","readings.wands-5.future","Competition or disagreement is ahead. Don't avoid it — engage with it. The conflict will ultimately clarify what matters.","Önde rekabet ya da anlaşmazlık var. Kaçınma — onunla meşgul ol. Çatışma sonunda neyin önemli olduğunu netleştirecek."
"readings","readings.wands-6.keywords","victory, recognition, triumph, public success","zafer, tanınma, tez, halka açık başarı"
"readings","readings.wands-6.meaning","A rider crowned with a laurel wreath, carried forward by a cheering crowd. Public victory, recognition earned through effort. This is the triumph card — enjoy the parade.","Defne çelengiyle taçlandırılmış bir binici, coşkulu bir kalabalık tarafından ileri taşınır. Halka açık zafer, çabayla kazanılmış tanınma. Bu zafer kartıdır — geçidi keyfine bak."
"readings","readings.wands-6.past","A victory was recognized publicly. You succeeded, and others saw it. That moment of recognition mattered more than you might admit.","Bir zafer halka açık biçimde tanındı. Başardın ve diğerleri gördü. O tanınma anı kabul etmek isteyebileceğinden daha önemliydi."
"readings","readings.wands-6.present","You're winning. Not in a quiet way — in the way where people notice. Accept the recognition. You earned this.","Kazanıyorsun. Sessiz biçimde değil — insanların fark ettiği biçimde. Tanınmayı kabul et. Bunu kazandın."
"readings","readings.wands-6.future","Public recognition or victory is ahead. The work you've put in is about to be acknowledged. Enjoy the moment — you've earned it.","Önde halka açık tanınma ya da zafer var. Yaptığın iş kabul edilmek üzere. Anın tadını çıkar — kazandın."
"readings","readings.wands-7.keywords","defense, perseverance, standing your ground, determination","savunma, azim, zeminini koruma, kararlılık"
"readings","readings.wands-7.meaning","A figure on high ground, holding one wand against six. Outnumbered but not outmatched. This is about defending your position against pressure. You have the advantage — don't give it up.","Yüksek zeminde bir figür, altıya karşı bir asa tutuyor. Sayıca az ama yenilmiş değil. Bu baskı altında konumunu savunmakla ilgili. Avantaj sende — bırakma."
"readings","readings.wands-7.past","You stood your ground against opposition. Outnumbered or outgunned, you held your position through sheer determination.","Muhalefete karşı zeminini korudun. Sayıca ya da güççe az olsan da, salt kararlılıkla konumunu koruduğun."
"readings","readings.wands-7.present","You're being challenged. Hold your ground. The high position is yours and the advantage is real, even if the pressure is intense.","Meydan okunuyorsun. Zeminini koru. Yüksek konum senin ve avantaj gerçek, baskı yoğun olsa bile."
"readings","readings.wands-7.future","A challenge to your position is coming. You'll need to defend what you've built. Stand firm — the ground beneath you is solid.","Konumuna bir meydan okuma geliyor. Kurduğunu savunman gerekecek. Sağlam dur — altındaki zemin sağlam."
"readings","readings.wands-8.keywords","speed, movement, swift action, momentum","hız, hareket, hızlı eylem, ivme"
"readings","readings.wands-8.meaning","Eight wands flying through the air toward the ground. Speed, momentum, things happening fast. Whatever's been in motion is about to land. This card is pure velocity.","Sekiz asa havada yere doğru uçuyor. Hız, ivme, hızlı gerçekleşen şeyler. Harekette olan her şey inmek üzere. Bu kart saf hızdır."
"readings","readings.wands-8.past","Things moved fast — messages, events, changes all arriving at once. That period of rapid motion covered a lot of ground in a short time.","İşler hızlı hareket etti — mesajlar, olaylar, değişiklikler hepsi bir anda geldi. O hızlı hareket dönemi kısa zamanda çok yol aldı."
"readings","readings.wands-8.present","Everything is accelerating. Messages, decisions, events — all in motion. Ride the momentum rather than trying to slow it down.","Her şey hızlanıyor. Mesajlar, kararlar, olaylar — hepsi harekette. Onu yavaşlatmaya çalışmak yerine ivmeye bin."
"readings","readings.wands-8.future","Rapid developments are incoming. Things will move faster than expected. Be ready to act quickly when they land.","Hızlı gelişmeler geliyor. Her şey beklenenden daha hızlı hareket edecek. Geldiğinde hızlıca harekete geçmeye hazır ol."
"readings","readings.wands-9.keywords","resilience, persistence, last stand, grit","dayanıklılık, ısrar, son duruş, metanet"
"readings","readings.wands-9.meaning","A wounded figure leans on a wand, eight more planted behind them. Battered but standing. This is grit — the refusal to go down even when every reasonable part of you wants to quit.","Yaralı bir figür bir asaya yaslanıyor, arkasında sekiz tane daha dikili. Hırpalanmış ama ayakta. Bu metanettir — her makul parçan bırakmak istediğinde dahi yere düşmeyi reddetmek."
"readings","readings.wands-9.past","You endured something grueling. Battered and tired, you kept standing when everything said to give up. That resilience defined you.","Yıpratıcı bir şeye dayandın. Hırpalanmış ve yorgun, her şey sana vazgeçmeni söylediğinde ayakta kaldın. O dayanıklılık seni tanımladı."
"readings","readings.wands-9.present","You're exhausted and the battle isn't over. One more push. You've come too far to stop now, even if every bone aches. Hold on.","Yorgunsun ve savaş bitmedi. Bir itme daha. Durmak için çok uzağa geldin, her kemiğin acısa bile. Dayan."
"readings","readings.wands-9.future","A test of endurance is ahead. It will push you to your limits. You'll want to quit — don't. You're tougher than you think.","Önde bir dayanıklılık testi var. Seni sınırlarına itecek. Bırakmak isteyeceksin — bırakma. Sandığından daha güçlüsün."
"readings","readings.wands-10.keywords","burden, responsibility, overload, hard work","yük, sorumluluk, aşırı yüklenme, sıkı çalışma"
"readings","readings.wands-10.meaning","A figure carries all ten wands, barely able to see over the load. Too much, and yet still moving forward. This is overcommitment, too many responsibilities, the weight of taking on everything yourself.","Bir figür on asanın hepsini taşıyor, yükün üzerinden güçlükle görebiliyor. Fazla, ama yine de ilerliyor. Bu aşırı taahhüt, çok fazla sorumluluk, her şeyi kendi üzerine almanın ağırlığıdır."
"readings","readings.wands-10.past","You carried too much. Responsibilities piled up until the load was crushing. That experience taught you something about limits — or it should have.","Çok fazla taşıdın. Sorumluluklar yük ezici olana dek yığıldı. O deneyim sana sınırlar hakkında bir şey öğretti — ya da öğretmiş olmalı."
"readings","readings.wands-10.present","You're overloaded. The weight is real and unsustainable. Put something down before you collapse. Not everything on your back is yours to carry.","Aşırı yüklüsün. Ağırlık gerçek ve sürdürülemez. Çökmeden önce bir şeyi bırak. Sırtındaki her şey taşıman gereken değil."
"readings","readings.wands-10.future","A heavy load of responsibility is ahead. Before you say yes to everything, remember: carrying ten wands means you can't see where you're going.","Önde ağır bir sorumluluk yükü var. Her şeye evet demeden önce hatırla: on asa taşımak nereye gittiğini göremeyeceğin anlamına gelir."
"readings","readings.wands-page.keywords","enthusiasm, exploration, discovery, free spirit","coşku, keşif, keşfetme, özgür ruh"
"readings","readings.wands-page.meaning","A young figure studies their wand with wide eyes and boundless curiosity. Fresh enthusiasm, a new passion discovered, the excitement of someone who just found their fire. Channel it before it scatters.","Genç bir figür asasını büyük gözler ve sınırsız merakla inceler. Taze coşku, yeni keşfedilmiş bir tutku, ateşini yeni bulmuş birinin heyecanı. Dağılmadan önce onu yönlendir."
"readings","readings.wands-page.past","A discovery or new interest ignited your passion. That youthful enthusiasm — raw and undirected — set the tone for what followed.","Bir keşif ya da yeni ilgi tutkunu ateşledi. O gençlik coşkusu — ham ve yönsüz — sonrasında olacakların tonunu belirledi."
"readings","readings.wands-page.present","Something new has your attention and your energy is high. Good. Now focus it. Enthusiasm without direction is just noise.","Yeni bir şey dikkatini çekti ve enerjin yüksek. İyi. Şimdi onu odakla. Yönsüz coşku sadece gürültüdür."
"readings","readings.wands-page.future","An exciting message or new passion is coming. It will light you up with possibility. Enjoy the spark, then give it structure.","Heyecan verici bir mesaj ya da yeni tutku geliyor. Seni olasılıkla aydınlatacak. Kıvılcımın tadını çıkar, sonra yapı ver."
"readings","readings.wands-knight.keywords","adventure, energy, impulsiveness, action","macera, enerji, dürtüsellik, eylem"
"readings","readings.wands-knight.meaning","The Knight of Wands charges forward, horse rearing, eyes on the horizon. Pure action, zero hesitation, all fire. Exciting and effective — until he burns through everything without a plan.","Asa Şövalyesi ileri hücum eder, at şahlanmış, gözleri ufukta. Saf eylem, sıfır tereddüt, hep ateş. Heyecan verici ve etkili — planı olmadan her şeyi yakıp bitirene kadar."
"readings","readings.wands-knight.past","An impulsive move or bold adventure changed your course. The energy was intoxicating, even if the planning was nonexistent.","Dürtüsel bir hamle ya da cesur bir macera rotanı değiştirdi. Planlama olmasa bile enerji sarhoş ediciydi."
"readings","readings.wands-knight.present","Act now, think later — within reason. The situation needs boldness and fire, not careful deliberation. Just make sure you know the general direction.","Şimdi hareket et, sonra düşün — makul sınırlar içinde. Durum cesaret ve ateş istiyor, dikkatli düşünme değil. Sadece genel yönü bildiğinden emin ol."
"readings","readings.wands-knight.future","An adventure or passionate pursuit is ahead. It will move fast and demand your full energy. Don't overthink — charge.","Önde bir macera ya da tutkulu bir arayış var. Hızlı hareket edecek ve tüm enerjini talep edecek. Fazla düşünme — hücum et."
"readings","readings.wands-queen.keywords","confidence, warmth, determination, vibrancy","özgüven, sıcaklık, kararlılık, canlılık"
"readings","readings.wands-queen.meaning","The Queen of Wands sits with a sunflower in one hand and her wand in the other, a black cat at her feet. Magnetic, confident, warm. She lights up every room without trying. This is passion paired with self-assurance.","Asa Kraliçesi bir elinde ayçiçeği ve diğerinde asasıyla oturur, ayaklarının dibinde siyah bir kedi. Manyetik, özgüvenli, sıcak. Çabalamadan her odayı aydınlatır. Bu özgüvenle eşleşmiş tutkudur."
"readings","readings.wands-queen.past","A vibrant, confident figure shaped your world — someone whose warmth and determination were impossible to ignore.","Canlı, özgüvenli bir figür dünyanı şekillendirdi — sıcaklığı ve kararlılığı görmezden gelinemez olan biri."
"readings","readings.wands-queen.present","Own your power. You're more magnetic and capable than you're giving yourself credit for. Step into the room like you belong there — because you do.","Gücüne sahip çık. Kendine hak ettiğinden daha manyetik ve yeteneklisin. Odaya ait olduğun gibi gir — çünkü ait."
"readings","readings.wands-queen.future","You're growing into a bold, warm authority. The confidence building inside you is about to become visible to everyone around you.","Cesur, sıcak bir otoriteye büyüyorsun. İçinde oluşan özgüven çevrendeki herkes için görünür hale gelmek üzere."
"readings","readings.wands-king.keywords","leadership, vision, entrepreneurship, bold action","liderlik, vizyon, girişimcilik, cesur eylem"
"readings","readings.wands-king.meaning","The King of Wands holds his living staff and gazes forward with fierce clarity. The visionary, the entrepreneur, the leader who inspires by doing. He doesn't just have ideas — he makes them happen.","Asa Kralı canlı asasını tutar ve şiddetli bir netlikle ileri bakar. Vizyoner, girişimci, eyleriyle ilham veren lider. Sadece fikirleri olmaz — onları gerçekleştirir."
"readings","readings.wands-king.past","Bold leadership or entrepreneurial vision drove a period of real creation. Someone — maybe you — turned fire into something lasting.","Cesur liderlik ya da girişimci vizyon gerçek yaratım dönemini sürükledi. Biri — belki sen — ateşi kalıcı bir şeye dönüştürdü."
"readings","readings.wands-king.present","Lead with vision and boldness. This is your moment to take charge, inspire others, and turn ambition into action. Don't wait for permission.","Vizyon ve cesaretle yönet. Bu senin sorumluluğu alma, diğerlerine ilham verme ve hırsı eyleme dönüştürme anın. İzin bekleme."
"readings","readings.wands-king.future","A leadership role or entrepreneurial opportunity is ahead. Your vision and energy will be needed. Step into it fully — hesitation doesn't suit you.","Önde bir liderlik rolü ya da girişimci fırsat var. Vizyonun ve enerjin gerekli olacak. Ona tamamen adım at — tereddüt sana yakışmıyor."
"readings","readingTemplates.intros.0","Three cards have come forward: {card1}, {card2}, and {card3}. Let's see what they have to say.","Üç kart ortaya çıktı: {card1}, {card2} ve {card3}. Bakalım ne söyleyecekler."
"readings","readingTemplates.intros.1","{card1}, {card2}, and {card3} — an interesting combination. Here is what the cards reveal.","{card1}, {card2} ve {card3} — ilginç bir kombinasyon. İşte kartların açıkladıkları."
"readings","readingTemplates.intros.2","The cards before you are {card1}, {card2}, and {card3}. Together they tell a clear story.","Önünüzdeki kartlar {card1}, {card2} ve {card3}. Birlikte net bir hikaye anlatıyorlar."
"readings","readingTemplates.intros.3","{card1}, {card2}, {card3}. These three chose to speak today — listen well.","{card1}, {card2}, {card3}. Bu üçü bugün konuşmayı seçti — iyi dinleyin."
"readings","readingTemplates.bridges.0","Now let's turn to the present.","Şimdi şimdiye dönelim."
"readings","readingTemplates.bridges.1","From the past, the cards shift to what is happening now.","Geçmişten, kartlar şimdi olanlara geçiyor."
"readings","readingTemplates.futureBridges.0","And what lies ahead —","Ve önde olan —"
"readings","readingTemplates.futureBridges.1","The final card looks forward.","Son kart ileriye bakıyor."
"readings","readingTemplates.closings.0","The cards have spoken. Take what resonates, leave what doesn't — but pay attention.","Kartlar konuştu. Yankılananı alın, yankılanmayanı bırakın — ama dikkat edin."
"readings","readingTemplates.closings.1","That is your reading. Sit with it for a moment before you move on.","Bu sizin okumanız. İlerlemeden önce bir süre oturun."
"readings","readingTemplates.closings.2","The spread is complete. Trust what stirred in you as you read these words.","Açılım tamamlandı. Bu kelimeleri okurken içinizde kıpırdanana güvenin."
"readings","readingTemplates.pastPrefix","{card} in the past position: ","{card} geçmiş konumunda: "
"readings","readingTemplates.presentPrefix","{card} in the present: ","{card} şimdide: "
"readings","readingTemplates.futurePrefix","{card} for the future: ","{card} gelecek için: "
